,invoice_id,issue_date,creation_date,invoice_type,buyer_company_name,vendor_company_name,payment_status,days_since_issue,past_due,total_amount_with_taxes,work_description,payment_status_norm
3635,3762,2025-09-14,2025-09-14T11:56:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,129,True,555.17,Staff Replacement (20-21-22-24-25-26-27 August / 7.7 hours)Strip and Wax (5-7 September / 15 hours),unpaid
3636,3763,2025-09-14,2025-09-14T12:02:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,129,True,165.32,Staff Replacement (20-21-22-24-25-26-27 August / 7.7 hours),unpaid
3637,3764,2025-09-14,2025-09-14T12:10:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,129,True,230.29,Staff Replacement (20-21-22-24-25-26-27 August / 7.7 hours)Carpet Cleaning (27 August / 2.5 hours),unpaid
3638,3765,2025-09-14,2025-09-14T14:56:00+00:00,One Shot,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,129,True,1610.25,Staff Replacement (18-19-20-21-22-25-26-27-28-29 August / 75 hours),unpaid
3639,3766,2025-09-14,2025-09-14T15:08:00+00:00,One Shot,10696480 Canada Ltd.,12887533 Canada Inc-Ramirez,Unpaid,129,True,1014.74,Post Constrution (10-11-12 September ),unpaid
3640,3767,2025-09-14,2025-09-14T15:27:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,129,True,389.85,Office TD Carpet Cleaning (13 september / 15 hours),unpaid
3650,3778,2025-09-30,2025-09-18T12:20:00+00:00,Regular,9359-6633 QUEBEC INC,16021166 Canada Ind-Augusto Silva,Unpaid,113,True,611.23,Labour: Janitorial services at BELL ON. Replacement August,unpaid
3651,3779,2025-09-30,2025-09-18T12:27:00+00:00,Regular,9359-6633 QUEBEC INC,16021166 Canada Ind-Augusto Silva,Unpaid,113,True,1117.1,Janitorial services at BELL ON Infrequent Sites - August 2025,unpaid
3652,3780,2025-09-30,2025-09-18T12:36:00+00:00,Regular,9359-6633 QUEBEC INC,16021166 Canada Ind-Augusto Silva,Unpaid,113,True,1017.27,Janitorial Services at BELL QC - Infrequent Sites AUGUST 2025,unpaid
3653,3781,2025-09-30,2025-09-18T12:50:00+00:00,Regular,9359-6633 QUEBEC INC,16021166 Canada Ind-Augusto Silva,Unpaid,113,True,2663.19,Janitorial Services at BELL QC - AUGUST 2025,unpaid
3654,3782,2025-09-30,2025-09-18T12:54:00+00:00,Regular,9359-6633 QUEBEC INC,16021166 Canada Ind-Augusto Silva,Unpaid,113,True,4384.5,Janitorial Services at BELL ON - AUGUST 2025,unpaid
3655,3783,2025-09-30,2025-09-19T12:49:00+00:00,Regular,12433087 Canada Inc,16021166 Canada Ind- Diego Salgado-Augusto Silva,Unpaid,113,True,3811.29,Janitorial Services at 1000 Castle Hill- September 2025,unpaid
3656,3784,2025-09-30,2025-09-19T12:50:00+00:00,Regular,12433087 Canada Inc,16021166 Canada Ind- Diego Salgado-Augusto Silva,Unpaid,113,True,3787.5,Janitorial Services at 20 Deerfield - September 2025,unpaid
3657,3785,2025-09-30,2025-09-19T12:51:00+00:00,Regular,12433087 Canada Inc,16021166 Canada Ind- Diego Salgado-Augusto Silva,Unpaid,113,True,3787.5,Janitorial services - 18 Deerfield Dr - September 2025,unpaid
3658,3786,2025-09-30,2025-09-19T12:52:00+00:00,Regular,Greenboro Medical Center,16021166 Canada Ind- Diego Salgado-Augusto Silva,Unpaid,113,True,1356.0,Janitorial services - 25 Tapiola Cresent - September 2025,unpaid
3659,3787,2025-09-30,2025-09-22T14:49:00+00:00,Regular,12433087 Canada Inc,9472-5025 Québec Inc-Carlos Bustamante,Unpaid,113,True,5334.45,Janitorial service at 5050 chemin de la Côte-de-Liesse QC Mont-Royal (C.C Royal Mount),unpaid
3660,3788,2025-09-30,2025-09-23T13:13:00+00:00,Regular,12433087 Canada Inc,9472-5025 Québec Inc-Carlos Bustamante,Unpaid,113,True,2527.87,Janitorial services at 5800 Boul Cavendish (Mall Cavendish) 01-15 sept 2025,unpaid
3685,3813,2025-09-23,2025-09-23T18:16:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,120,True,287.71,"B00597 - BCA80051828Battery replacement for emergency lighting August 26,2025",unpaid
3687,3815,2025-09-30,2025-09-24T10:37:00+00:00,Regular,12433087 Canada Inc,15648815 Canada Inc-Luis Fernando Mendez,Unpaid,113,True,969.0,Janitorial services at 1801 Hollis st - September 2025,unpaid
3688,3816,2025-09-30,2025-09-24T10:38:00+00:00,Regular,12433087 Canada Inc,15648815 Canada Inc-Luis Fernando Mendez,Unpaid,113,True,16690.66,Janitorial Services at 1801 Hollis Street- September 2025,unpaid
3689,3817,2025-09-30,2025-09-24T10:38:00+00:00,Regular,12433087 Canada Inc,15648815 Canada Inc-Luis Fernando Mendez,Unpaid,113,True,16238.63,Janitorial Services at 99 Wyze Road. September 2025,unpaid
3690,3818,2025-09-24,2025-09-24T12:03:00+00:00,One Shot,Allen Maintenance Ltd-98,12433087 Canada Inc.,Unpaid,119,True,888.75,1355 Bank St. / Riverside - Power Sweep and Pressure Wash Parking Garage - August 2025,unpaid
3692,3821,2025-09-30,2025-09-25T12:06:00+00:00,Regular,BGIS SCS,9359-6633 Quebec Inc,Unpaid,113,True,1796.7,"WO# 268694774Janitorial Services at VIA Rail Ottawa July 1st to July 15th, 2025",unpaid
3693,3822,2025-09-30,2025-09-25T15:11:00+00:00,Regular,BGIS SCS,9359-6633 Quebec Inc,Unpaid,113,True,87.15,"VIA0064- 268694783Janitorial Services at VIA Rail KingstonJuly 01,2025",unpaid
3698,3827,2025-09-30,2025-09-25T21:09:00+00:00,Regular,BGIS SCS,9359-6633 Quebec Inc,Unpaid,113,True,2305.77,"WO# 268694776Janitorial Services at VIA Rail OttawaSeptember 1st to September 15th,2025",unpaid
3699,3828,2025-09-25,2025-09-25T21:18:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,118,True,1356.0,"WO# 268694750Washing perimetric tall windows facing the railway June 24,2025",unpaid
3700,3829,2025-09-30,2025-09-25T21:26:00+00:00,Regular,BGIS SCS,9359-6633 Quebec Inc,Unpaid,113,True,3773.07,"WO # 268694775Janitorial Services at VIA Rail OttawaAugust 1-29, 2025",unpaid
3705,3834,2025-09-30,2025-09-26T14:33:00+00:00,Regular,12433087 Canada Inc,9472-5025 Québec Inc-Carlos Bustamante,Unpaid,113,True,38786.59,Janitorial Services at 2001 Avenue McGill - Sept 2025,unpaid
3706,3835,2025-09-30,2025-09-26T14:36:00+00:00,Regular,12433087 Canada Inc,9472-5025 Québec Inc-Carlos Bustamante,Unpaid,113,True,7065.07,"Janitorial Services at 201-211 Avenue Laurier E, Montréal, QC- Sept 2025",unpaid
3707,3836,2025-09-30,2025-09-26T14:38:00+00:00,Regular,12433087 Canada Inc,9472-5025 Québec Inc-Carlos Bustamante,Unpaid,113,True,1007.18,Janitorial Services at 8 Place de commerce- Sept 2025,unpaid
3708,3837,2025-09-30,2025-09-26T14:39:00+00:00,Regular,12433087 Canada Inc,9472-5025 Québec Inc-Carlos Bustamante,Unpaid,113,True,2553.33,Janitorial Services at 950 Beaumont Reg- Sept 2025,unpaid
3709,3838,2025-09-30,2025-09-26T14:41:00+00:00,Regular,12433087 Canada Inc,9472-5025 Québec Inc-Carlos Bustamante,Unpaid,113,True,901.12,Janitorial Services at 950 Beaumont Ext. Dentiste- Sept 2025,unpaid
3710,3839,2025-09-30,2025-09-26T14:42:00+00:00,Regular,12433087 Canada Inc,9472-5025 Québec Inc-Carlos Bustamante,Unpaid,113,True,1432.39,Janitorial Services at 950 Beaumont UDM extension- Sept 2025,unpaid
3711,3840,2025-09-30,2025-09-26T14:45:00+00:00,Regular,12433087 Canada Inc,9472-5025 Québec Inc-Carlos Bustamante,Unpaid,113,True,229.95,Janitorial Services at 5970 Boul Henri-Bourassa O. Saint-Laurent O.S- Sept 2025,unpaid
3712,3841,2025-09-26,2025-09-26T16:24:00+00:00,One Shot,Controlnet,12433087 Canada Inc.,Unpaid,117,True,-57.49,"550 De la Cite - Credit to Invoice 2734 - Clean the locker inside and around and the ceiling pipe - March 20th, 2025",unpaid
3714,3843,2025-09-27,2025-09-27T12:16:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,116,True,1048.08,"WO #268694761Provision of Extra Staff to clean floors and carpets 35 hrs labor in the month of June,2025",unpaid
3718,3847,2025-09-29,2025-09-29T14:52:00+00:00,One Shot,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,114,True,369.51,Patroll Weekend Minto (1140M- 1150M-1156M-1169M-1171M-18H20H-21H-22H-23H-25H-28H-1129M-1124M-1130M),unpaid
3719,3848,2025-09-30,2025-09-29T14:55:00+00:00,Regular,10696480 Canada Ltd.,12887533 Canada Inc-Ramirez,Unpaid,113,True,384.2,"Janitorial Services ,1320 Carling Ave, Ottawa, ON",unpaid
3720,3849,2025-09-30,2025-09-29T15:15:00+00:00,Regular,10696480 Canada Ltd.,12887533 Canada Inc-Ramirez,Unpaid,113,True,288.15,"Janitorial Services, 421-423 Richmond Rd, Ottawa, ON",unpaid
3722,3851,2025-09-30,2025-09-29T15:20:00+00:00,Regular,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,113,True,197.75,"Janitorial Services Bank TD,1295 Carling Ave, Ottawa, ON",unpaid
3723,3852,2025-09-30,2025-09-29T15:45:00+00:00,Regular,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,113,True,4944.65,"Janitorial Services, 1341 Meadowlands Dr-Parkwood Hills-Package 1, Ottawa",unpaid
3724,3853,2025-09-30,2025-09-29T15:51:00+00:00,Regular,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,113,True,2204.4,"Janitorial Services, 311 McArthur Ave, Ottawa,ON",unpaid
3725,3854,2025-09-30,2025-09-29T15:56:00+00:00,Regular,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,113,True,322.05,"Janitorial Services, 366 Brant St, Ottawa, ON",unpaid
3726,3855,2025-09-30,2025-09-29T16:03:00+00:00,Regular,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,113,True,953.04,"Janitorial Services, 420 Gilmour Street, Ottawa,ON",unpaid
3727,3856,2025-09-30,2025-09-29T16:14:00+00:00,Regular,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,113,True,953.04,"Janitorial Services, 21 James Street, Ottawa, ON",unpaid
3728,3857,2025-09-30,2025-09-29T16:24:00+00:00,Regular,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,113,True,1219.87,"Janitorial Services ,2355 St Laurent, Ottawa,ON",unpaid
3735,3864,2025-09-29,2025-09-29T18:31:00+00:00,One Shot,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,114,True,1610.25,Staff Replacement (15-16-17-18-19-22-23-24-25-26 September / 75 hours),unpaid
3736,3865,2025-09-30,2025-09-29T19:09:00+00:00,Regular,12433087 Canada Inc,15652286 Canada Inc-Anssuini,Unpaid,113,True,2090.5,Labour:Janitorial Services at 700 Sussex St. Ottawa September 25,unpaid
3737,3866,2025-09-30,2025-09-29T19:11:00+00:00,Regular,12433087 Canada Inc,15652286 Canada Inc-Anssuini,Unpaid,113,True,2327.69,"Janitorial Services - 454 Laurier Av E, Ottawa SEP 25",unpaid
3738,3867,2025-09-30,2025-09-29T19:13:00+00:00,Regular,12433087 Canada Inc,15652286 Canada Inc-Anssuini,Unpaid,113,True,406.38,Janitorial Services at Media Plus 103-141 Catherine St - SEP 2025Labour - Washrooms one per week,unpaid
3739,3868,2025-09-30,2025-09-29T19:14:00+00:00,Regular,12433087 Canada Inc,15652286 Canada Inc-Anssuini,Unpaid,113,True,4350.5,Janitorial Services at OPA- SEP 2025,unpaid
3740,3869,2025-09-30,2025-09-29T19:15:00+00:00,Regular,12433087 Canada Inc,15652286 Canada Inc-Anssuini,Unpaid,113,True,423.75,Janitorial Services at J & R Saints 101 - 141 Catherine St - SEP 2025,unpaid
3741,3870,2025-09-30,2025-09-29T19:20:00+00:00,Regular,12433087 Canada Inc,15652286 Canada Inc-Anssuini,Unpaid,113,True,623.76,Janitorial Services at OPA- SEP 2025 MEMORIAL WKND,unpaid
3773,3902,2025-09-30,2025-09-30T09:19:00+00:00,One Shot,Controlnet,12433087 Canada Inc.,Unpaid,113,True,344.93,MACH-2001 McGill-Extra service menager CIM (1601) September 2025,unpaid
3795,3925,2025-09-30,2025-09-30T14:41:00+00:00,Regular,Allen Maintenance Ltd-47,12433087 Canada Inc.,Unpaid,113,True,11738.43,Janitorial Services at 1000 Castle Hill- 18 Deerfield - 20 Deerfield September 2025,unpaid
3802,3933,2025-09-30,2025-09-30T14:55:00+00:00,Regular,BGIS SCS,9359-6633 Quebec Inc,Unpaid,113,True,1976.37,"WO # 268694776Janitorial Services at VIA Rail OttawaSeptember 16-30, 2025",unpaid
3805,3936,2025-09-30,2025-09-30T15:01:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,113,True,1497.25,"TDA0550 - TDC80721638Deep cleaning of the branch (Floor scrub, Carpet Cleaning, Window Cleaning, Full dusting) September 27th ,2025",unpaid
3821,3952,2025-09-30,2025-09-30T22:29:00+00:00,Regular,BGIS SCS,9359-6633 Quebec Inc,Unpaid,113,True,4219.7,B00679 71 BELVEDERE AVE CHARLOTTETOWN / B00646 56 FITZROY CHARLOTTETOWN - Janitorial Services September 2025,unpaid
3822,3953,2025-10-01,2025-10-01T11:49:00+00:00,One Shot,12433087 Canada Inc,9472-5025 Québec Inc-Carlos Bustamante,Unpaid,112,True,1157.62,Replacement at 825 rue Saint Laurent (Place Longueuil) mois sept 2025,unpaid
3823,3954,2025-10-31,2025-10-01T11:56:00+00:00,Regular,12433087 Canada Inc,9472-5025 Québec Inc-Carlos Bustamante,Unpaid,82,True,538.08,Janitorial services at 5800 Boul Cavendish (Mall Cavendish) 16-30 sept 2025,unpaid
3824,3955,2025-10-31,2025-10-02T12:28:00+00:00,Regular,12433087 Canada Inc,9472-5025 Québec Inc-Carlos Bustamante,Unpaid,82,True,4822.4,Janitorial service at 5050 chemin de la Côte-de-Liesse QC Mont-Royal (C.C Royal Mount),unpaid
3825,3956,2025-10-31,2025-10-02T12:40:00+00:00,Regular,12433087 Canada Inc,9472-5025 Québec Inc-Carlos Bustamante,Unpaid,82,True,706.41,Janitorial service at 5050 chemin de la Côte-de-Liesse QC Mont-Royal (C.C Royal Mount),unpaid
3826,3957,2025-10-31,2025-10-02T13:04:00+00:00,Regular,12433087 Canada Inc,9472-5025 Québec Inc-Carlos Bustamante,Unpaid,82,True,499.6,"Janitorial services at 101 Bd Cardinal Léger, Pincourt. Reg mois Septembre",unpaid
3827,3958,2025-10-05,2025-10-05T14:50:00+00:00,One Shot,12433087 Canada Inc,15441021 Canada Inc-Villa,Unpaid,108,True,7093.96,1341 Meadownlands Dr-PARKWOOD HILLS-Various Buildings - October 1-15/2025,unpaid
3828,3959,2025-10-05,2025-10-05T14:53:00+00:00,One Shot,12433087 Canada Inc,15441021 Canada Inc-Villa,Unpaid,108,True,7093.96,1341 Meadownlands Dr-PARKWOOD HILLS-Various Buildings - October 16-31/2025,unpaid
3829,3960,2025-10-31,2025-10-06T10:47:00+00:00,Regular,12433087 Canada Inc,15648815 Canada Inc-Luis Fernando Mendez,Unpaid,82,True,969.0,Janitorial services at 1801 Hollis st - October 2025,unpaid
3836,3968,2025-10-08,2025-10-08T11:58:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,105,True,101.7,"TDA0605 - TDC80694829Cleaning of the fridge and freezer in the lunch room October 03,2025",unpaid
3839,3972,2025-10-31,2025-10-10T09:43:00+00:00,Regular,Allen Maintenance Ltd-47,12433087 Canada Inc.,Unpaid,82,True,201.21,Mach- 550 De la Cite Janitorial services lower level - 15 to 30 August 2025,unpaid
3840,3973,2025-10-31,2025-10-10T10:00:00+00:00,Regular,Allen Maintenance Ltd-47,12433087 Canada Inc.,Unpaid,82,True,402.41,Mach- 550 De la Cite Janitorial services lower level - September 2025,unpaid
3841,3974,2025-10-14,2025-10-14T09:22:00+00:00,One Shot,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,99,True,369.51,Patroll Weekend Minto (1140M- 1150M-1156M-1169M-1171M-18H20H-21H-22H-23H-25H-28H-1129M-1124M-1130M),unpaid
3842,3975,2025-10-31,2025-10-14T09:26:00+00:00,Regular,10696480 Canada Ltd.,12887533 Canada Inc-Ramirez,Unpaid,82,True,384.2,"Janitorial Services ,1320 Carling Ave, Ottawa, ON",unpaid
3843,3976,2025-10-31,2025-10-14T09:29:00+00:00,Regular,10696480 Canada Ltd.,12887533 Canada Inc-Ramirez,Unpaid,82,True,288.15,"Janitorial Services, 421-423 Richmond Rd, Ottawa, ON",unpaid
3844,3977,2025-10-31,2025-10-14T09:33:00+00:00,Regular,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,82,True,197.75,"Janitorial Services Bank TD,1295 Carling Ave, Ottawa, ON",unpaid
3845,3978,2025-10-31,2025-10-14T09:53:00+00:00,Regular,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,82,True,4944.65,"Janitorial Services ,1341 Meadowlands Dr-Parkwood Hills-Package 1",unpaid
3846,3979,2025-10-31,2025-10-14T10:01:00+00:00,Regular,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,82,True,2204.4,"Janitorial Services, 311 McArthur Ave, Ottawa,ON",unpaid
3847,3980,2025-10-31,2025-10-14T10:07:00+00:00,Regular,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,82,True,322.05,"Janitorial Services, 366 Brant St, Ottawa, ON",unpaid
3848,3981,2025-10-31,2025-10-14T10:14:00+00:00,Regular,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,82,True,953.04,"Janitorial Services, 420 Gilmour Street, Ottawa,ON",unpaid
3849,3982,2025-10-31,2025-10-14T10:18:00+00:00,Regular,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,82,True,953.04,"Janitorial Services, 21 James Street, Ottawa, ON",unpaid
3850,3983,2025-10-31,2025-10-14T10:22:00+00:00,Regular,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,82,True,1213.09,"Janitorial Services ,2355 St Laurent, Ottawa,ON",unpaid
3863,3996,2025-10-17,2025-10-17T22:35:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,96,True,205.9,134 BLAIR AVE - Yearly Cleaning - June 13th,unpaid
3864,3997,2025-10-17,2025-10-17T22:46:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,96,True,355.68,79 Main St - Yearly Cleaning - June 13th,unpaid
3865,3998,2025-10-17,2025-10-17T22:52:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,96,True,246.24,215 Main St - Yearly Cleaning - June 30th,unpaid
3867,4000,2025-10-17,2025-10-17T23:41:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,96,True,330.03,44 Main St - Yearly Cleaning - June 27th,unpaid
3868,4001,2025-10-17,2025-10-17T23:49:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,96,True,101.75,28 HIGHWAY 12 HWY - Yearly Cleaning - June 11th,unpaid
3869,4002,2025-10-17,2025-10-18T00:33:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,96,True,148.78,B00585 - 1739 OLD ROUTE - Yearly Cleaning - June 13th,unpaid
3870,4003,2025-10-17,2025-10-18T00:42:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,96,True,356.01,7 Clairmont St - Yearly Cleaning - June 11th,unpaid
3871,4004,2025-10-18,2025-10-18T09:21:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,95,True,177.84,10258 Durham St - Yearly Cleaning - June 22th,unpaid
3872,4005,2025-10-18,2025-10-18T09:25:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,95,True,419.29,105 Queen St - Yearly Cleaning - June 10th,unpaid
3875,4008,2025-10-18,2025-10-18T19:46:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,95,True,151.18,431 Main St - Yearly Cleaning - June 24th,unpaid
3878,4011,2025-10-18,2025-10-18T20:41:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,95,True,106.86,175 CHAIN LAKE DRIVE LOT 55AREOR DRIVE - Yearly Cleaning - July 03th,unpaid
3879,4012,2025-10-18,2025-10-18T20:45:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,95,True,123.12,35 Prospect Rd - Yearly Cleaning - July 03th,unpaid
3880,4013,2025-10-18,2025-10-18T21:12:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,95,True,246.24,1750 ST. MARGARETS BAY RD - Yearly Cleaning - July 03th,unpaid
3881,4014,2025-10-18,2025-10-18T21:34:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,95,True,120.37,2365 HIGHWAY 4 HWY - Yearly Cleaning - July 06th,unpaid
3882,4015,2025-10-18,2025-10-18T21:38:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,95,True,255.82,88 Grandique Rd - Yearly Cleaning - July 06th,unpaid
3884,4017,2025-10-18,2025-10-18T22:18:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,95,True,23.26,30 SELFRIDGE WAY - Yearly Cleaning - June 05th,unpaid
3885,4018,2025-10-18,2025-10-18T22:24:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,95,True,164.16,HIGHWAY 4 AND HIGHWAY 16 - Yearly Cleaning - June 13th,unpaid
3886,4019,2025-10-18,2025-10-18T22:28:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,95,True,162.27,7761 CABOT TRAIL HWY - Yearly Cleaning - June 07th,unpaid
3888,4021,2025-10-18,2025-10-18T22:41:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,95,True,170.66,11 GEORGE RD - Yearly Cleaning - June 07th,unpaid
3889,4022,2025-10-18,2025-10-18T22:45:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,95,True,97.81,312 TRUNK 2 HWY - Yearly Cleaning - June 11th,unpaid
3890,4023,2025-10-18,2025-10-18T22:50:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,95,True,82.07,7 Rogers Rd - CALEDONIA,unpaid
3891,4024,2025-10-18,2025-10-18T23:00:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,95,True,147.74,13754 MAIN ROAD RD - Yearly Cleaning - July 20th,unpaid
3892,4025,2025-10-18,2025-10-18T23:04:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,95,True,147.74,1918 HIGHWAY 6 HWY - Yearly Cleaning - July 20th,unpaid
3894,4027,2025-10-18,2025-10-18T23:11:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,95,True,285.9,9 Pratt and Whitney Dr - Yearly Cleaning - June 05th,unpaid
3895,4028,2025-10-31,2025-10-19T08:18:00+00:00,Regular,BGIS SCS,9359-6633 Quebec Inc,Unpaid,82,True,2066.21,VIA Rail Ottawa - 200 Tremblay Rd - OS Janitorial Services at VIA Rail Ottawa (Oct 1 to Oct 15),unpaid
3899,4032,2025-10-19,2025-10-19T09:58:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,94,True,1695.0,TDA0616-457 Hazeldean Rd - Deep floor scrub and grout cleaning (08-Oct),unpaid
3901,4034,2025-10-19,2025-10-19T10:18:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,94,True,290.7,10 ACADIA ST - Service call to fill toilet paper (10 Oct),unpaid
3907,4040,2025-10-19,2025-10-19T10:39:00+00:00,One Shot,Allen Maintenance Ltd-47,12433087 Canada Inc.,Unpaid,94,True,932.25,222 Queen St. - Garage Power Sweeping Levels 4&5 (02 Oct),unpaid
3908,4041,2025-10-19,2025-10-19T11:12:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,94,True,638.45,"TDA0550 - BMO80455753Remove remaining glue from tiles.October 04,2025",unpaid
3913,4046,2025-10-22,2025-10-22T11:14:00+00:00,One Shot,13037622 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,91,True,259.9,carpet cleaning (12 October / 10 hours),unpaid
3914,4047,2025-10-22,2025-10-22T11:53:00+00:00,One Shot,10696480 Canada Ltd.,12887533 Canada Inc-Ramirez,Unpaid,91,True,1897.27,"Post construction, floors 3 and 4 ( 17,18 September / 26 hours)  floors 4 and 6 (16,17,18,20 October / 47 hours)",unpaid
3915,4048,2025-10-22,2025-10-22T12:09:00+00:00,One Shot,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,91,True,977.29,"Deep Clean house ( 1,3,8 October / 34 hours )",unpaid
3916,4049,2025-10-22,2025-10-22T16:48:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,91,True,762.75,"VIA0064 - 268696801Carpet cleaning (October 18, 2025",unpaid
3918,4052,2025-10-22,2025-10-22T17:01:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,91,True,256.5,"B00585 - BCA80791450Refill toilet paper October 18,2025",unpaid
3922,4057,2025-10-31,2025-10-23T21:28:00+00:00,Regular,BGIS SCS,9359-6633 Quebec Inc,Unpaid,82,True,344.93,"B03261 BCA80896573Janitorial Services and Provision of supplies  October 23, 2025",unpaid
3923,4058,2025-10-31,2025-10-24T11:52:00+00:00,Regular,9359-6633 QUEBEC INC,16021166 Canada Ind-Augusto Silva,Unpaid,82,True,4384.5,Janitorial Services at BELL ON - SEPTEMBER 2025,unpaid
3924,4059,2025-10-31,2025-10-24T11:54:00+00:00,Regular,9359-6633 QUEBEC INC,16021166 Canada Ind-Augusto Silva,Unpaid,82,True,2663.19,Janitorial Services at BELL QC - SEPTEMBER 2025,unpaid
3925,4060,2025-10-31,2025-10-24T11:59:00+00:00,Regular,9359-6633 QUEBEC INC,16021166 Canada Ind-Augusto Silva,Unpaid,82,True,339.07,Labour: Janitorial services at BELL ON. Replacements September,unpaid
3926,4061,2025-10-31,2025-10-24T12:23:00+00:00,Regular,9359-6633 QUEBEC INC,16021166 Canada Ind-Augusto Silva,Unpaid,82,True,1945.78,Janitorial Services - Infrequent Sites at QC BELL - September 2025,unpaid
3927,4062,2025-10-31,2025-10-24T13:49:00+00:00,Regular,12433087 Canada Inc,16021166 Canada Ind- Diego Salgado-Augusto Silva,Unpaid,82,True,3811.29,Janitorial Services at 1000 Castle Hill- October 2025,unpaid
3928,4063,2025-10-31,2025-10-24T13:49:00+00:00,Regular,12433087 Canada Inc,16021166 Canada Ind- Diego Salgado-Augusto Silva,Unpaid,82,True,3787.5,Janitorial Services at 20 Deerfield - October 2025,unpaid
3929,4064,2025-10-31,2025-10-24T13:50:00+00:00,Regular,12433087 Canada Inc,16021166 Canada Ind- Diego Salgado-Augusto Silva,Unpaid,82,True,3787.5,Janitorial services - 18 Deerfield Dr - October 2025,unpaid
